Label,HipCenter X,HipCenter Y,HipCenter Z,Spine X,Spine Y,Spine Z,Head X,Head Y,Head Z,ShoulderCenter X,ShoulderCenter Y,ShoulderCenter Z,ShoulderLeft X,ShoulderLeft Y,ShoulderLeft Z,ElbowLeft X,ElbowLeft Y,ElbowLeft Z,WristLeft X,WristLeft Y,WristLeft Z,HandLeft X,HandLeft Y,HandLeft Z,ShoulderRight X,ShoulderRight Y,ShoulderRight Z,ElbowRight X,ElbowRight Y,ElbowRight Z,WristRight X,WristRight Y,WristRight Z,HandRight X,HandRight Y,HandRight Z,HipLeft X,HipLeft Y,HipLeft Z,KneeLeft X,KneeLeft Y,KneeLeft Z,AnkleLeft X,AnkleLeft Y,AnkleLeft Z,FootLeft X,FootLeft Y,FootLeft Z,HipRight X,HipRight Y,HipRight Z,KneeRight X,KneeRight Y,KneeRight Z,AnkleRight X,AnkleRight Y,AnkleRight Z,FootRight X,FootRight Y,FootRight Z
moving,0.0163902,0.0046233,0.033122,0.0201446,0.0038919,0.031753,0.0300552,0.0069977,0.029315,0.0164565,0.0089755,0.024944,0.0188079,0.0046353,0.030577,0.0268234,0.0067405,0.029106,0.0192923,0.0058122,0.027678,0.00867,0.0072766,0.032392,0.01943321,0.0055114,0.046221,0.02498329,0.0551406,0.110939,0.0535648,0.0284223,0.108669,0.021368575,0.0064257,0.048517,0.0144193,0.0050665,0.032246,0.013089,0.0054201,0.033826,0.0064079,0.0046296,0.016914,0.0025653,0.003581,0.004084,0.01509728,0.0039222,0.037146,0.01178599,0.0028093,0.02866,0.0029261,0.0074426,0.009084,0.00672461,0.0073168,0.009399
moving,0.0066533,0.0032326,0.012642,0.010042,0.0026296,0.013496,0.0208423,0.0017885,0.021134,0.0115875,0.0063159,0.017736,0.0228953,0.0050833,0.029394,0.0377569,0.0850264,0.038484,0.0071538,0.0148924,0.046814,0.0136771,0.0079685,0.018843,0.009601821,0.0024773,0.018714,0.0150972,0.0459603,0.052395,0.02225706,0.0164169,0.05468,0.053596937,0.0072901,0.027633,0.0058636,0.0017555,0.013451,0.0047416,0.0042119,0.030872,0.0120591,0.0221532,0.04258,0.0327628,0.0650299,0.136697,0.00631783,0.0035531,0.013554,0.00767566,0.0015667,0.006843,0.0015739,0.0031324,0.001511,0.0095512,0.030415,0.045961
moving,0.0044207,0.0051511,0.012083,0.0061657,0.0043727,0.011794,0.0051096,0.0013304,0.011601,0.005039,0.0047099,0.014193,0.0231412,0.0124323,0.03948,0.0072054,0.0105064,0.035593,0.0095534,0.0336382,0.039266,0.0174889,0.0049963,0.019212,0.00525207,0.0033907,0.012871,0.0082364,0.0121109,0.017569,0.06696434,0.0246938,0.048336,0.01238044,0.0078366,0.037641,0.0065447,0.003027,0.011448,0.0119739,0.0069561,0.02296,0.0154206,0.0190279,0.058071,0.0332546,0.010157,0.089166,0.00419488,0.0033677,0.010882,0.00358107,0.0023745,0.005036,0.0070808,0.0160804,0.008624,0.0080334,0.020595,0.037266
moving,0.0031841,0.0061934,0.013134,0.0042922,0.0052484,0.013615,0.00445954,0.0044046,0.015873,0.00174873,0.0036262,0.01695,0.0051552,0.0106675,0.025195,0.008786,0.0697285,0.022537,0.0163736,0.0319074,0.026047,0.0045294,0.0063229,0.03271,0.00450398,0.0028969,0.01465,0.0014545,0.0021276,0.010041,0.00376835,0.0027641,0.010472,0.0051093,0.0033298,0.010893,0.0033683,0.0048591,0.016481,0.0096113,0.0017578,0.012789,0.0065177,0.0291753,0.045644,0.0055038,0.0481395,0.066942,0.00420607,0.0036766,0.011816,0.00280456,0.0023984,0.00575,0.0012844,0.0027405,0.006878,0.0028484,0.0076069,0.008345
moving,0.0029711,0.0067025,0.033516,0.0046431,0.0053587,0.033436,0.0041124,0.0046288,0.030427,0.03108093,0.0042921,0.033775,0.0051883,0.0044888,0.040446,0.0044652,0.0058061,0.045357,0.0086525,0.0196189,0.045601,0.0176363,0.0028738,0.043765,0.0109028,0.0059175,0.035351,0.0146447,0.0413865,0.025796,0.07790196,0.0057707,0.028546,0.03860901,0.0029965,0.034266,0.0014356,0.0057649,0.027549,0.0083988,0.0039033,0.022698,0.0083641,0.0245236,0.025066,0.0135629,0.0396011,0.030977,0.0068478,0.0053107,0.04077,0.00310534,0.0048898,0.022482,0.0012518,0.0016362,0.003392,0.0029844,0.0033977,0.006598
moving,0.0062159,0.0067454,0.031702,0.0056256,0.0059871,0.031461,0.0096624,0.0047097,0.030194,0.0490337,0.0060604,0.026748,0.022355,0.0044514,0.028122,0.0091929,0.0129811,0.034201,0.0058191,0.0272872,0.042857,0.0241707,0.0109238,0.052134,0.01460942,0.0032939,0.038847,0.012927,0.022296,0.020498,0.03500034,0.021673,0.024699,0.10686104,0.0127271,0.085847,0.0065022,0.0090013,0.033506,0.0058281,0.0057671,0.02584,0.002836,0.0038793,0.004956,0.0017097,0.0415715,0.031384,0.00709435,0.0059285,0.037006,0.00730886,0.0088084,0.051346,0.01043827,0.0130721,0.022673,0.0205929,0.0339229,0.065722
moving,0.0165118,0.0282287,0.019753,0.0187107,0.024133,0.01276,0.0296328,0.0108977,0.012079,0.0379348,0.008132,0.010449,0.0077102,0.0059154,0.017653,0.0591256,0.0224768,0.022792,0.0168854,0.0154636,0.012706,0.0113212,0.0068197,0.035708,0.04516588,0.0110773,0.02632,0.02461115,0.0320289,0.011949,0.02026222,0.0133285,0.010579,0.14937808,0.0393085,0.124002,0.0105864,0.0212703,0.020262,0.0075194,0.0012894,0.008765,0.0029492,0.0023293,0.00248,0.0057114,0.0315402,0.04391,0.02095413,0.0155286,0.029032,0.01136073,0.0092317,0.080694,0.0139139,0.0207512,0.041457,0.02106937,0.0442451,0.101075
moving,0.01064464,0.0105248,0.034497,0.00927821,0.0085596,0.030735,0.01157129,0.0029787,0.025922,0.06757541,0.0072918,0.025886,0.0349436,0.0172648,0.03446,0.0186837,0.0083662,0.036332,0.020455,0.0451975,0.052581,0.0085165,0.0037713,0.028736,0.02000791,0.0035215,0.033213,0.0175088,0.0131748,0.026932,0.0171694,0.0213823,0.024382,0.01322017,0.0054997,0.032285,0.0107135,0.0067237,0.039721,0.0119692,0.003951,0.029062,0.0003773,0.0009027,0.002238,0.0055333,0.0005366,0.002346,0.00997073,0.0079455,0.033515,0.00382102,0.0042094,0.025441,0.00160765,0.0024585,0.008882,0.00474378,0.0355427,0.069288
moving,0.00572742,0.0086792,0.027698,0.00550245,0.0071495,0.026628,0.0102928,0.0039059,0.03201,0.01800244,0.0045498,0.038578,0.0070759,0.0070479,0.029195,0.0059834,0.0061953,0.021775,0.0044852,0.005909,0.021945,0.0046501,0.003376,0.029467,0.0264057,0.0106739,0.052413,0.0146942,0.0292418,0.033933,0.0100199,0.0217233,0.033351,0.04317481,0.0117681,0.103599,0.0023318,0.0096491,0.022465,0.0049088,0.0051582,0.024497,0.0023162,0.0103691,0.0747,0.0150995,0.0231505,0.105025,0.007902559,0.0096669,0.030996,0.004317899,0.0034241,0.018317,0.00216554,0.0068997,0.004875,0.00856954,0.0317433,0.053704
moving,0.00252719,0.0033169,0.010243,0.00198433,0.0029188,0.011551,0.00241121,0.0029484,0.016339,0.0039235,0.0043692,0.019857,0.002938,0.004428,0.014445,0.0028025,0.0075033,0.023478,0.0054889,0.013099,0.025409,0.0065329,0.0020802,0.020431,0.0077677,0.0045141,0.014479,0.0054898,0.0034472,0.016441,0.0541164,0.0114584,0.034691,0.0014124,0.0021463,0.015649,0.0028696,0.0030784,0.011028,0.010231,0.0064043,0.037039,0.008168,0.0090871,0.0505,0.0385984,0.0039548,0.07215,0.003440661,0.0052872,0.01148,0.002634817,0.00167,0.00795,0.00338683,0.008223,0.006968,0.00306963,0.0085578,0.006909
