Label,HipCenter X,HipCenter Y,HipCenter Z,Spine X,Spine Y,Spine Z,Head X,Head Y,Head Z,ShoulderCenter X,ShoulderCenter Y,ShoulderCenter Z,ShoulderLeft X,ShoulderLeft Y,ShoulderLeft Z,ElbowLeft X,ElbowLeft Y,ElbowLeft Z,WristLeft X,WristLeft Y,WristLeft Z,HandLeft X,HandLeft Y,HandLeft Z,ShoulderRight X,ShoulderRight Y,ShoulderRight Z,ElbowRight X,ElbowRight Y,ElbowRight Z,WristRight X,WristRight Y,WristRight Z,HandRight X,HandRight Y,HandRight Z,HipLeft X,HipLeft Y,HipLeft Z,KneeLeft X,KneeLeft Y,KneeLeft Z,AnkleLeft X,AnkleLeft Y,AnkleLeft Z,FootLeft X,FootLeft Y,FootLeft Z,HipRight X,HipRight Y,HipRight Z,KneeRight X,KneeRight Y,KneeRight Z,AnkleRight X,AnkleRight Y,AnkleRight Z,FootRight X,FootRight Y,FootRight Z
walking,0.0430419,0.00329384,0.056221,0.0458615,0.0032045,0.053158,0.0713557,0.0023537,0.041012,0.1117984,0.0073725,0.055958,0.05527685,0.0278616,0.045163,0.04816449,0.016652,0.041014,0.02533758,0.05978072,0.050658,0.03593226,0.074156955,0.065739,0.0688755,0.0102528,0.051403,0.0455592,0.0141282,0.062204,0.0104099,0.03654013,0.064097,0.0313395,0.02862996,0.113282,0.0362386,0.00398028,0.05861,0.0155171,0.0094977,0.059031,0.0135169,0.0115603,0.029548,0.0468515,0.0375407,0.105916,0.0386979,0.00277859,0.058007,0.0107995,0.0151392,0.040229,0.0064457,0.0062641,0.014868,0.0314998,0.0226998,0.128439
walking,0.07998,0.0385588,0.329961,0.0736152,0.0478086,0.341431,0.0838635,0.0803213,0.364521,0.1142208,0.0900612,0.403291,0.0789494,0.030361,0.361765,0.0942845,0.0439133,0.370903,0.0697395,0.03790909,0.352236,0.0615578,0.04301058,0.383211,0.1090938,0.0482692,0.33422,0.1025878,0.0483876,0.420428,0.024164,0.032809403,0.336472,0.0932186,0.03691749,0.305154,0.0746075,0.03965646,0.332093,0.1114942,0.0516737,0.372732,0.1585985,0.0545128,0.4925,0.1497694,0.0554744,0.445417,0.0835384,0.03414265,0.337571,0.0849985,0.0688554,0.316647,0.0843164,0.065112,0.327233,0.0597719,0.0865448,0.223877
walking,0.0577776,0.0246093,0.34531,0.0626779,0.005645,0.336659,0.130445,0.1252417,0.33281,0.1070971,0.0710399,0.281375,0.1016574,0.0263239,0.388393,0.0845637,0.0483491,0.360607,0.0661164,0.20698223,0.605366,0.0904422,0.23401284,0.691441,0.0974421,0.0358864,0.329611,0.0814999,0.0443867,0.358527,0.1113485,0.09578888,0.17057,0.1653021,0.08984978,0.158211,0.0484599,0.017959,0.346713,0.0387402,0.0215055,0.352813,0.0544804,0.0453429,0.459259,0.0610603,0.0453123,0.481365,0.0470579,0.0197227,0.356102,0.0433558,0.0345013,0.35666,0.1052686,0.0481311,0.376772,0.0911738,0.0393459,0.383107
walking,0.486809,0.0479776,0.151148,0.4665321,0.0644276,0.127448,0.4771103,0.1500909,0.1442,0.5247137,0.1127641,0.054776,0.4981337,0.0263455,0.059359,0.4636555,0.0381159,0.071253,0.4735023,0.1390123,0.224548,0.5112031,0.19622447,0.293398,0.51966,0.0532106,0.261673,0.4863293,0.0239199,0.361481,0.5039459,0.0452449,0.330312,0.4958836,0.08480649,0.270049,0.4941453,0.0461148,0.105115,0.3926165,0.0295347,0.077376,0.3420947,0.0611659,0.144916,0.3906534,0.0419486,0.242671,0.4917714,0.0537315,0.18834,0.4938512,0.0143874,0.066171,0.5395548,0.0146367,0.193626,0.5844447,0.033749,0.083916
walking,0.019172,0.0075024,0.022505,0.020686,0.0097728,0.023291,0.032071,0.0251206,0.031458,0.009363,0.0092796,0.031448,0.0170846,0.0061838,0.02807,0.0135915,0.0140045,0.022367,0.0165188,0.0353881,0.064641,0.0218018,0.09246019,0.08348,0.015663,0.0174322,0.044234,0.038059,0.0339506,0.077503,0.024075,0.029709,0.052095,0.049682,0.0556599,0.077463,0.0173807,0.0074551,0.025787,0.019144,0.004154,0.023304,0.0238251,0.0073594,0.090756,0.0413972,0.0273858,0.119156,0.016903,0.0070366,0.023551,0.003276,0.0102076,0.017872,0.011514,0.0493426,0.030597,0.015431,0.0679624,0.067283
walking,0.0462094,0.0113688,0.085252,0.0529508,0.0127592,0.085583,0.088284,0.0190741,0.080904,0.0677389,0.0083166,0.062213,0.0660865,0.0211923,0.089853,0.0506575,0.0316335,0.115529,0.1357821,0.2946815,0.195959,0.1624839,0.31397054,0.252904,0.056389,0.0125386,0.06778,0.036845,0.0323272,0.079889,0.024445,0.0455775,0.060097,0.025182,0.09234753,0.078347,0.0374741,0.0148118,0.081616,0.0234716,0.0187233,0.05716,0.0138214,0.0272522,0.039322,0.0359864,0.0449291,0.053101,0.038614,0.0100008,0.090994,0.058513,0.0121326,0.138571,0.049022,0.0356905,0.193699,0.061931,0.0584437,0.192874
walking,0.0209329,0.0150042,0.085408,0.0190295,0.0155569,0.087739,0.014397,0.0187608,0.100848,0.0222245,0.0144967,0.067361,0.013094,0.0178175,0.078111,0.0097183,0.0229297,0.04857,0.0448381,0.1672614,0.015589,0.0700824,0.20848856,0.035068,0.021929,0.0209193,0.095831,0.023939,0.0156846,0.120898,0.061903,0.0489154,0.15671,0.079836,0.05176372,0.161699,0.0228752,0.0137616,0.077048,0.0271819,0.0086708,0.047376,0.0149224,0.0122416,0.036159,0.0419006,0.0340801,0.070127,0.0229015,0.015319,0.086906,0.0246487,0.0082811,0.053831,0.015205,0.0214318,0.060327,0.0218773,0.0536108,0.099258
walking,0.0132866,0.0031779,0.034364,0.0141189,0.0036829,0.034741,0.0223572,0.0388352,0.032749,0.0178104,0.0083193,0.035578,0.0119765,0.0090456,0.030973,0.0132072,0.0243295,0.018057,0.0092298,0.03526664,0.052612,0.0196324,0.026125326,0.032932,0.0175263,0.0098996,0.035927,0.026425,0.0278621,0.042599,0.016239,0.0338875,0.036335,0.0189336,0.04033085,0.033012,0.0132295,0.0036712,0.034156,0.0386103,0.0248393,0.042144,0.0704304,0.0719363,0.126156,0.10027,0.0677188,0.170937,0.0162003,0.0035479,0.034927,0.0095407,0.008504,0.012398,0.0066553,0.0027397,0.003487,0.0081586,0.0023912,0.003289
walking,0.022176,0.0151281,0.034827,0.0244064,0.0144271,0.034802,0.0351868,0.0116755,0.033655,0.0284177,0.0167573,0.024357,0.0308704,0.013469,0.053214,0.0494565,0.0163566,0.049127,0.0456562,0.06877029,0.041199,0.0413844,0.01950472,0.086283,0.0321884,0.0082491,0.023117,0.016309,0.0208213,0.013449,0.0148609,0.02313727,0.012594,0.0079939,0.0225096,0.004686,0.0217619,0.0169668,0.037269,0.0288629,0.016723,0.053959,0.0369743,0.0129365,0.06334,0.0439618,0.0233986,0.076262,0.0184052,0.0158029,0.033719,0.0160965,0.0271777,0.041689,0.0054424,0.0079361,0.013412,0.0061874,0.0077704,0.015991
walking,0.0107626,0.004747,0.014174,0.0120649,0.0035402,0.014331,0.0182135,0.0072705,0.013989,0.0260385,0.0034899,0.022495,0.0143724,0.01103,0.019856,0.0335282,0.0097991,0.039777,0.0294901,0.04497369,0.041444,0.0238687,0.03494245,0.047903,0.0187387,0.0037662,0.012926,0.024829,0.0096705,0.009724,0.0167748,0.01408027,0.016816,0.0132327,0.00418156,0.024738,0.0098104,0.00570772,0.015377,0.0064984,0.0145834,0.008887,0.0070464,0.0086981,0.003442,0.0193974,0.0183704,0.048502,0.0105111,0.00315668,0.013551,0.0145123,0.0113543,0.026359,0.0269209,0.0210703,0.033627,0.0241753,0.0212648,0.034686
